user_id,txn_date,txn_amount,channel,txn_type,txn_id
U100698,2025-05-29,235.75,App,bill,T000192
U102935,2025-05-08,917.98,App,send,T000193
U100520,2025-07-18,540.64,USSD,send,T000194
U102381,2025-07-12,809.69,App,send,T000195
U101860,2025-05-22,717.98,App,topup,T000196
U101198,2025-05-28,53.07,USSD,send,T000197
U101799,2025-05-20,814.51,Agent,loan,T000198
U101060,2025-07-22,660.89,Agent,loan,T000199
U102988,2025-07-25,776.41,App,loan,T000200
U102630,2025-05-15,636.43,USSD,bill,T000201
U101066,2025-07-27,414.51,Agent,topup,T000202
U101080,2025-06-11,51.0,USSD,topup,T000203
U102198,2025-06-30,872.52,USSD,topup,T000204
U102775,2025-05-30,469.69,App,bill,T000205
U102071,2025-07-24,872.34,App,topup,T000206
U100637,2025-07-17,317.34,App,bill,T000207
U101578,2025-07-13,394.81,Agent,bill,T000208
U102918,2025-07-01,255.47,Agent,topup,T000209
U101013,2025-06-08,485.98,Agent,topup,T000210
U101848,2025-07-15,573.83,App,topup,T000211
U100408,2025-05-03,130.86,App,send,T000212
U100488,2025-05-26,531.38,Agent,send,T000213
U100965,2025-07-23,697.19,Agent,loan,T000214
U102515,2025-05-07,50.95,App,loan,T000215
U100202,2025-07-18,863.09,USSD,bill,T000216
U102840,2025-07-14,37.02,Agent,topup,T000217
U102450,2025-06-16,151.9,App,bill,T000218
U102844,2025-06-14,355.6,Agent,bill,T000219
U100448,2025-07-10,494.5,App,topup,T000220
U100582,2025-06-09,905.41,USSD,bill,T000221
U101023,2025-07-28,221.09,USSD,topup,T000222
U100669,2025-07-20,22.44,USSD,topup,T000223
U100591,2025-06-01,113.87,App,loan,T000224
U102781,2025-07-08,321.18,USSD,loan,T000225
U100787,2025-06-10,908.86,Agent,send,T000226
U102835,2025-07-24,540.04,App,topup,T000227
U101187,2025-07-28,295.13,USSD,send,T000228
U101248,2025-07-18,502.7,Agent,loan,T000229
U102083,2025-05-09,599.62,USSD,send,T000230
U101109,2025-07-19,465.16,App,send,T000231
U101532,2025-05-15,614.24,USSD,bill,T000232
U100292,2025-07-06,612.47,USSD,topup,T000233
U102792,2025-05-25,448.75,USSD,topup,T000234
U101627,2025-06-18,427.71,Agent,topup,T000235
U100655,2025-05-06,947.68,Agent,bill,T000236
U101696,2025-06-03,233.94,App,loan,T000237
U102039,2025-06-09,474.69,App,topup,T000238
U101469,2025-06-27,567.67,App,loan,T000239
U100329,2025-07-09,885.94,USSD,send,T000240
U100580,2025-07-17,809.71,App,send,T000241
U102679,2025-06-22,369.52,Agent,topup,T000242
U100618,2025-07-10,592.94,App,send,T000243
U101321,2025-05-31,924.14,USSD,topup,T000244
U100172,2025-06-13,152.48,USSD,bill,T000245
U102723,2025-07-06,701.43,USSD,topup,T000246
U101785,2025-05-02,245.12,Agent,topup,T000247
U102645,2025-07-12,409.2,Agent,bill,T000248
U102720,2025-05-05,764.18,App,send,T000249
U101767,2025-07-01,377.61,USSD,bill,T000250
U102553,2025-07-01,514.86,Agent,bill,T000251
U100397,2025-05-17,195.34,Agent,send,T000252
U100913,2025-06-30,655.05,App,send,T000253
U101116,2025-06-12,574.32,App,topup,T000254
U100263,2025-07-15,819.1,App,topup,T000255
U100621,2025-07-01,95.27,App,send,T000256
U101524,2025-05-13,749.43,Agent,send,T000257
U102913,2025-04-30,373.12,App,loan,T000258
U102225,2025-06-07,417.74,USSD,loan,T000259
U101220,2025-05-19,893.74,App,send,T000260
U102174,2025-06-30,327.39,Agent,send,T000261
U101595,2025-05-29,309.99,USSD,topup,T000262
U102759,2025-05-30,1.96,USSD,topup,T000263
U102334,2025-06-24,928.14,USSD,loan,T000264
U102614,2025-05-07,524.89,App,bill,T000265
U102133,2025-05-10,327.96,Agent,loan,T000266
U102612,2025-05-15,402.32,USSD,bill,T000267
U100486,2025-05-24,596.2,Agent,topup,T000268
U100891,2025-06-19,296.9,App,send,T000269
U102500,2025-07-08,141.77,USSD,topup,T000270
U100733,2025-07-13,76.03,App,send,T000271
U101251,2025-07-19,690.49,App,bill,T000272
U100668,2025-07-02,612.12,Agent,topup,T000273
U100461,2025-07-13,282.12,USSD,send,T000274
U100368,2025-05-12,471.59,Agent,loan,T000275
U100628,2025-07-21,825.56,USSD,bill,T000276
U102356,2025-06-26,690.96,App,topup,T000277
U102104,2025-07-05,698.61,App,send,T000278
U100233,2025-06-08,220.12,USSD,loan,T000279
U101678,2025-07-15,21.92,Agent,topup,T000280
U102892,2025-05-31,3.13,App,bill,T000281
U100805,2025-06-12,748.25,Agent,bill,T000282
U100792,2025-06-15,544.43,App,send,T000283
U100015,2025-07-23,322.44,App,bill,T000284
U100735,2025-07-10,270.88,Agent,topup,T000285
U102252,2025-05-12,710.07,USSD,topup,T000286
U101711,2025-05-25,842.61,Agent,topup,T000287
U102703,2025-05-16,778.58,Agent,send,T000288
U100244,2025-07-05,451.65,Agent,loan,T000289
U100671,2025-06-26,822.81,USSD,topup,T000290
U100930,2025-07-19,178.13,Agent,topup,T000291
U102054,2025-05-31,609.8,USSD,topup,T000292
U100878,2025-07-16,814.74,USSD,send,T000293
U102071,2025-05-27,336.89,App,loan,T000294
U100725,2025-05-19,398.25,App,topup,T000295
U101777,2025-05-08,552.6,App,send,T000296
U100304,2025-06-09,190.68,Agent,topup,T000297
U100823,2025-06-04,900.17,Agent,topup,T000298
U100406,2025-05-17,673.35,Agent,topup,T000299
U101430,2025-06-07,897.81,USSD,send,T000300
U102164,2025-07-24,477.39,Agent,send,T000301
U101663,2025-06-05,952.71,USSD,loan,T000302
U101579,2025-07-20,95.88,App,loan,T000303
U102576,2025-07-24,723.63,Agent,topup,T000304
U100025,2025-06-24,635.17,Agent,send,T000305
U102679,2025-05-21,813.41,App,send,T000306
U102544,2025-05-02,128.31,Agent,loan,T000307
U101678,2025-05-02,117.66,Agent,send,T000308
U101443,2025-07-28,969.97,USSD,topup,T000309
U102216,2025-06-23,693.09,USSD,loan,T000310
U100729,2025-07-01,734.69,App,topup,T000311
U102873,2025-06-28,391.4,USSD,loan,T000312
U102186,2025-06-29,385.09,App,bill,T000313
U102354,2025-05-22,829.6,App,bill,T000314
U101835,2025-07-27,204.94,Agent,topup,T000315
U101406,2025-05-08,326.82,Agent,bill,T000316
U102749,2025-06-13,435.72,Agent,send,T000317
U101820,2025-05-19,738.44,App,send,T000318
U101822,2025-05-25,268.85,USSD,topup,T000319
U102528,2025-07-07,412.59,Agent,bill,T000320
U100257,2025-07-21,764.71,Agent,loan,T000321
U101984,2025-05-16,22.57,App,loan,T000322
U101257,2025-05-04,686.32,USSD,bill,T000323
U102290,2025-06-07,352.59,Agent,bill,T000324
U101661,2025-06-29,276.52,Agent,topup,T000325
U102491,2025-06-10,802.18,USSD,send,T000326
U101683,2025-06-27,462.58,USSD,loan,T000327
U102125,2025-05-25,943.78,USSD,topup,T000328
U101632,2025-05-14,733.34,Agent,send,T000329
U101559,2025-05-08,293.67,Agent,send,T000330
U101086,2025-06-04,290.73,App,topup,T000331
U102715,2025-05-16,640.37,USSD,send,T000332
U101338,2025-06-24,964.89,App,send,T000333
U100671,2025-05-11,399.07,USSD,send,T000334
U101624,2025-05-01,400.81,Agent,send,T000335
U100074,2025-07-08,840.03,App,bill,T000336
U102189,2025-06-20,833.73,USSD,send,T000337
U100907,2025-06-11,1.54,Agent,topup,T000338
U102726,2025-07-14,804.69,USSD,loan,T000339
U101249,2025-07-28,667.09,Agent,topup,T000340
U102534,2025-06-13,595.41,USSD,bill,T000341
U100434,2025-07-19,553.78,USSD,topup,T000342
U100059,2025-07-04,150.23,USSD,bill,T000343
U100052,2025-06-16,48.2,App,send,T000344
U102783,2025-05-11,345.57,USSD,loan,T000345
U100417,2025-05-21,592.58,Agent,bill,T000346
U102642,2025-07-08,204.1,USSD,loan,T000347
U101199,2025-05-19,97.99,USSD,topup,T000348
U101795,2025-05-18,978.77,Agent,bill,T000349
U101769,2025-07-22,449.38,App,loan,T000350
U102953,2025-07-17,912.35,Agent,send,T000351
U102174,2025-07-14,472.63,USSD,send,T000352
U100127,2025-05-25,113.89,App,loan,T000353
U101525,2025-05-27,888.67,App,send,T000354
U100945,2025-07-11,272.11,USSD,bill,T000355
U101032,2025-06-16,132.4,Agent,send,T000356
U101611,2025-06-06,484.46,Agent,bill,T000357
U101728,2025-05-12,559.07,USSD,bill,T000358
U100675,2025-06-10,301.58,App,loan,T000359
U100580,2025-07-22,787.61,App,send,T000360
U101325,2025-05-20,910.25,Agent,loan,T000361
U101956,2025-06-27,137.79,USSD,topup,T000362
U100754,2025-05-20,939.0,App,send,T000363
U102494,2025-07-19,8.91,App,topup,T000364
U102601,2025-05-27,647.87,USSD,loan,T000365
U100120,2025-07-09,259.36,USSD,loan,T000366
U101592,2025-07-04,304.27,USSD,bill,T000367
U101525,2025-05-18,597.69,Agent,loan,T000368
U101336,2025-06-09,171.55,App,topup,T000369
U101280,2025-05-17,7.1,App,topup,T000370
U101177,2025-06-08,333.68,USSD,topup,T000371
U100416,2025-07-15,167.06,Agent,send,T000372
U100013,2025-05-14,741.28,USSD,topup,T000373
U102696,2025-05-02,185.65,App,send,T000374
U102937,2025-05-28,779.35,App,topup,T000375
U102594,2025-05-25,969.94,USSD,topup,T000376
U101743,2025-05-22,772.63,Agent,topup,T000377
U102529,2025-06-28,347.16,USSD,bill,T000378
U102269,2025-06-12,325.4,App,bill,T000379
U100697,2025-07-27,681.59,USSD,topup,T000380
U102919,2025-05-24,859.36,App,loan,T000381
U100473,2025-06-04,977.52,USSD,loan,T000382
U101508,2025-06-25,615.33,USSD,send,T000383
U100224,2025-07-05,336.65,App,send,T000384
U101487,2025-07-01,309.21,App,bill,T000385
U101835,2025-06-13,454.65,USSD,loan,T000386
U100943,2025-05-08,764.92,Agent,topup,T000387
U101460,2025-05-01,772.6,USSD,loan,T000388
U102166,2025-06-14,732.07,Agent,bill,T000389
U100459,2025-05-12,833.43,USSD,send,T000390
U101459,2025-07-23,581.0,Agent,loan,T000391
U100816,2025-05-31,260.7,Agent,topup,T000392
U100150,2025-07-06,334.04,USSD,send,T000393
U100910,2025-06-07,196.04,Agent,topup,T000394
U101725,2025-07-05,84.06,App,topup,T000395
U100981,2025-05-20,825.67,Agent,topup,T000396
U101749,2025-07-08,936.4,Agent,loan,T000397
U102072,2025-06-06,535.41,App,send,T000398
U101444,2025-07-07,794.61,USSD,loan,T000399
U100804,2025-06-10,10.63,Agent,loan,T000400
U100753,2025-07-10,316.65,App,bill,T000401
U100743,2025-06-26,123.1,Agent,bill,T000402
U101673,2025-05-24,327.39,Agent,topup,T000403
U101341,2025-05-07,729.21,USSD,send,T000404
U100415,2025-05-09,512.37,App,bill,T000405
U101740,2025-06-23,685.87,App,bill,T000406
U101143,2025-05-05,869.49,USSD,send,T000407
U101962,2025-05-05,443.25,USSD,topup,T000408
U102426,2025-06-01,809.26,Agent,send,T000409
U101271,2025-05-22,225.26,USSD,topup,T000410
U102407,2025-06-14,605.0,USSD,loan,T000411
U102576,2025-07-27,794.07,USSD,bill,T000412
U100215,2025-06-03,609.98,Agent,send,T000413
U102824,2025-06-27,37.89,App,bill,T000414
U101964,2025-07-04,228.65,App,topup,T000415
U102800,2025-07-16,709.16,App,send,T000416
U102884,2025-06-27,85.9,Agent,loan,T000417
U102717,2025-07-07,522.55,USSD,topup,T000418
U102664,2025-07-11,295.51,USSD,bill,T000419
U102536,2025-07-17,751.33,Agent,loan,T000420
U102387,2025-05-04,371.34,App,bill,T000421
U102008,2025-04-30,329.26,Agent,bill,T000422
U102129,2025-05-24,127.29,Agent,send,T000423
U102426,2025-06-17,52.29,App,send,T000424
U101806,2025-06-29,745.45,USSD,send,T000425
U100563,2025-06-05,299.94,Agent,topup,T000426
U102618,2025-05-29,608.83,USSD,send,T000427
U101892,2025-06-07,15.37,USSD,bill,T000428
U101075,2025-07-04,925.52,App,bill,T000429
U100844,2025-06-05,426.03,App,loan,T000430
U102143,2025-05-12,105.71,App,topup,T000431
U102614,2025-07-25,30.66,Agent,bill,T000432
U101779,2025-06-23,849.07,App,send,T000433
U102367,2025-05-03,246.52,USSD,send,T000434
U101126,2025-06-25,945.31,USSD,send,T000435
U100092,2025-05-17,738.15,Agent,topup,T000436
U100431,2025-05-25,445.85,Agent,send,T000437
U101517,2025-05-16,316.31,Agent,loan,T000438
U101732,2025-06-17,585.62,App,bill,T000439
U100366,2025-06-16,628.38,Agent,bill,T000440
U102066,2025-06-01,538.92,App,loan,T000441
U100048,2025-07-24,769.03,Agent,bill,T000442
U100799,2025-06-14,127.41,USSD,send,T000443
U100497,2025-05-12,122.74,App,send,T000444
U100042,2025-05-08,249.37,Agent,topup,T000445
U102349,2025-05-30,984.77,USSD,topup,T000446
U102647,2025-07-07,866.27,USSD,send,T000447
U100996,2025-06-20,723.78,App,send,T000448
U102826,2025-06-11,531.59,Agent,send,T000449
U102057,2025-05-13,717.46,App,bill,T000450
U101342,2025-05-25,61.94,App,bill,T000451
U100869,2025-05-11,714.92,App,loan,T000452
U100285,2025-05-30,905.87,Agent,loan,T000453
U100842,2025-05-04,379.74,USSD,topup,T000454
U101801,2025-05-12,79.79,Agent,bill,T000455
U102087,2025-06-17,720.9,USSD,topup,T000456
U100856,2025-07-23,353.88,Agent,send,T000457
U102884,2025-07-20,8.11,USSD,bill,T000458
U101762,2025-05-27,91.26,Agent,bill,T000459
U101844,2025-07-11,665.99,App,bill,T000460
U101580,2025-06-04,820.59,App,loan,T000461
U102326,2025-07-28,186.75,USSD,send,T000462
U100414,2025-06-10,380.45,App,loan,T000463
U102780,2025-05-27,613.83,Agent,topup,T000464
U102081,2025-07-26,911.1,USSD,loan,T000465
U100744,2025-07-24,457.48,App,loan,T000466
U102663,2025-05-25,378.83,App,bill,T000467
U101021,2025-06-28,295.69,Agent,send,T000468
U101547,2025-07-19,807.43,USSD,send,T000469
U102886,2025-07-12,683.27,App,send,T000470
U100429,2025-07-28,623.83,Agent,loan,T000471
U101324,2025-05-25,634.97,App,bill,T000472
U102193,2025-06-19,872.32,Agent,bill,T000473
U101677,2025-05-30,828.41,App,bill,T000474
U100509,2025-06-11,38.44,Agent,send,T000475
U100554,2025-07-25,490.92,App,send,T000476
U101081,2025-05-16,143.57,USSD,topup,T000477
U101729,2025-05-30,135.19,Agent,send,T000478
U101078,2025-07-10,634.13,Agent,bill,T000479
U101856,2025-06-16,116.94,Agent,topup,T000480
U102424,2025-07-13,317.67,App,send,T000481
U102356,2025-05-14,412.35,App,loan,T000482
U102028,2025-06-22,402.73,Agent,send,T000483
U102333,2025-07-21,174.53,Agent,bill,T000484
U102513,2025-07-28,509.64,USSD,bill,T000485
U101436,2025-07-02,112.77,Agent,topup,T000486
U101346,2025-06-30,538.1,USSD,topup,T000487
U102010,2025-07-16,124.16,USSD,topup,T000488
U100087,2025-06-11,642.16,USSD,send,T000489
U100432,2025-05-05,757.8,USSD,send,T000490
U100831,2025-05-18,305.76,App,send,T000491
U102077,2025-05-14,493.92,Agent,loan,T000492
U101815,2025-05-05,652.25,USSD,topup,T000493
U102999,2025-05-22,234.8,USSD,bill,T000494
U101945,2025-05-17,450.06,USSD,send,T000495
U100952,2025-05-03,717.74,Agent,send,T000496
U102550,2025-06-14,913.23,USSD,topup,T000497
U102099,2025-05-25,826.08,USSD,send,T000498
U100763,2025-05-15,545.41,USSD,topup,T000499
U101428,2025-07-07,265.24,App,send,T000500
U101073,2025-06-14,68.75,App,topup,T000501
U100348,2025-06-11,611.6,Agent,bill,T000502
U101844,2025-05-11,462.36,App,bill,T000503
U101144,2025-07-25,67.22,App,loan,T000504
U102824,2025-06-17,591.97,Agent,bill,T000505
U100408,2025-05-03,565.46,App,bill,T000506
U101520,2025-06-11,997.83,App,send,T000507
U100243,2025-06-03,621.76,Agent,bill,T000508
U100404,2025-07-07,954.8,App,topup,T000509
U101134,2025-06-23,544.44,USSD,send,T000510
U102405,2025-06-16,730.46,Agent,loan,T000511
U100618,2025-06-13,744.66,USSD,loan,T000512
U100838,2025-06-16,184.15,USSD,send,T000513
U102031,2025-05-10,842.14,App,topup,T000514
U101186,2025-07-21,14.97,Agent,topup,T000515
U100706,2025-07-08,419.8,App,send,T000516
U100145,2025-07-23,193.23,USSD,loan,T000517
U100406,2025-05-14,687.85,App,send,T000518
U101945,2025-05-12,12.99,Agent,loan,T000519
U101837,2025-06-02,694.76,App,send,T000520
U100620,2025-05-09,779.26,App,bill,T000521
U100968,2025-05-19,391.53,USSD,topup,T000522
U100287,2025-07-23,571.67,App,loan,T000523
U102227,2025-05-27,583.81,App,bill,T000524
U101904,2025-05-17,476.32,USSD,send,T000525
U100245,2025-07-20,96.68,App,topup,T000526
U101366,2025-05-16,955.36,Agent,send,T000527
U100106,2025-07-11,798.73,App,loan,T000528
U100366,2025-06-18,190.32,App,loan,T000529
U100703,2025-07-18,161.09,App,topup,T000530
U102214,2025-05-26,813.18,Agent,send,T000531
U102086,2025-06-23,473.14,App,loan,T000532
U102030,2025-07-25,143.39,App,send,T000533
U101039,2025-07-03,316.9,Agent,bill,T000534
U101669,2025-06-25,792.55,USSD,send,T000535
U102332,2025-05-20,168.02,App,loan,T000536
U100025,2025-06-25,455.33,USSD,topup,T000537
U101667,2025-04-30,54.74,App,topup,T000538
U101235,2025-06-20,293.84,App,topup,T000539
U101476,2025-07-13,145.08,Agent,loan,T000540
U100063,2025-06-24,144.93,App,topup,T000541
U102407,2025-05-17,270.61,App,topup,T000542
U102721,2025-06-09,730.69,Agent,bill,T000543
U101249,2025-07-28,742.17,USSD,loan,T000544
U100738,2025-05-07,376.45,App,topup,T000545
U102762,2025-05-23,183.45,Agent,bill,T000546
U101293,2025-07-13,95.28,App,loan,T000547
U101675,2025-06-17,79.82,USSD,bill,T000548
U102949,2025-07-04,557.63,Agent,topup,T000549
U101107,2025-05-09,948.07,Agent,bill,T000550
U102393,2025-07-25,540.51,App,loan,T000551
U100151,2025-05-31,132.28,App,send,T000552
U101309,2025-05-02,955.13,Agent,send,T000553
U100699,2025-05-27,805.62,Agent,loan,T000554
U102879,2025-07-05,286.25,Agent,loan,T000555
U101045,2025-07-05,479.49,USSD,loan,T000556
U100519,2025-05-11,214.68,USSD,send,T000557
